GrandPrixId,SeasonYear,RoundNumber,EventFormat,SessionType,Status,Error
1,2021,1,conventional,Q,OK,
1,2021,1,conventional,R,OK,
2,2021,2,conventional,Q,OK,
2,2021,2,conventional,R,OK,
3,2021,3,conventional,Q,OK,
3,2021,3,conventional,R,OK,
4,2021,4,conventional,Q,OK,
4,2021,4,conventional,R,OK,
5,2021,5,conventional,Q,OK,
5,2021,5,conventional,R,OK,
6,2021,6,conventional,Q,OK,
6,2021,6,conventional,R,OK,
7,2021,7,conventional,Q,OK,
7,2021,7,conventional,R,OK,
8,2021,8,conventional,Q,OK,
8,2021,8,conventional,R,OK,
9,2021,9,conventional,Q,OK,
9,2021,9,conventional,R,OK,
10,2021,10,sprint,Q,OK,
10,2021,10,sprint,R,OK,
11,2021,11,conventional,Q,OK,
11,2021,11,conventional,R,OK,
12,2021,12,conventional,Q,OK,
12,2021,12,conventional,R,OK,
13,2021,13,conventional,Q,OK,
13,2021,13,conventional,R,OK,
14,2021,14,sprint,Q,OK,
14,2021,14,sprint,R,OK,
15,2021,15,conventional,Q,OK,
15,2021,15,conventional,R,OK,
16,2021,16,conventional,Q,OK,
16,2021,16,conventional,R,OK,
17,2021,17,conventional,Q,OK,
17,2021,17,conventional,R,OK,
18,2021,18,conventional,Q,OK,
18,2021,18,conventional,R,OK,
19,2021,19,sprint,Q,OK,
19,2021,19,sprint,R,OK,
20,2021,20,conventional,Q,OK,
20,2021,20,conventional,R,OK,
21,2021,21,conventional,Q,OK,
21,2021,21,conventional,R,OK,
22,2021,22,conventional,Q,OK,
22,2021,22,conventional,R,OK,
1,2022,1,conventional,Q,OK,
1,2022,1,conventional,R,OK,
2,2022,2,conventional,Q,OK,
2,2022,2,conventional,R,OK,
3,2022,3,conventional,Q,OK,
3,2022,3,conventional,R,OK,
4,2022,4,sprint,Q,OK,
4,2022,4,sprint,R,OK,
5,2022,5,conventional,Q,OK,
5,2022,5,conventional,R,OK,
6,2022,6,conventional,Q,OK,
6,2022,6,conventional,R,OK,
7,2022,7,conventional,Q,OK,
7,2022,7,conventional,R,OK,
8,2022,8,conventional,Q,OK,
8,2022,8,conventional,R,OK,
9,2022,9,conventional,Q,OK,
9,2022,9,conventional,R,OK,
10,2022,10,conventional,Q,OK,
10,2022,10,conventional,R,OK,
11,2022,11,sprint,Q,OK,
11,2022,11,sprint,R,OK,
12,2022,12,conventional,Q,OK,
12,2022,12,conventional,R,OK,
13,2022,13,conventional,Q,OK,
13,2022,13,conventional,R,OK,
14,2022,14,conventional,Q,OK,
14,2022,14,conventional,R,OK,
15,2022,15,conventional,Q,OK,
15,2022,15,conventional,R,OK,
16,2022,16,conventional,Q,OK,
16,2022,16,conventional,R,OK,
17,2022,17,conventional,Q,OK,
17,2022,17,conventional,R,OK,
18,2022,18,conventional,Q,OK,
18,2022,18,conventional,R,OK,
19,2022,19,conventional,Q,OK,
19,2022,19,conventional,R,OK,
20,2022,20,conventional,Q,OK,
20,2022,20,conventional,R,OK,
21,2022,21,sprint,Q,OK,
21,2022,21,sprint,R,OK,
22,2022,22,conventional,Q,OK,
22,2022,22,conventional,R,OK,
