table_name,dimension,check_id,check_description,passed_count,failed_count,total_count,score,status
season,Completeness,season_required_structural_columns,season_year must be present because it is the structural identifier of the season.,2,0,2,1.0,green
season,Uniqueness,primary_key_unique,Primary key ['season_year'] must be unique and non-null.,2,0,2,1.0,green
season,Validity,season_year_scope,season_year must be 2021 or 2022.,2,0,2,1.0,green
season,Validity,season_start_date_parseable,season_start_date must be a valid date when present.,2,0,2,1.0,green
season,Validity,season_end_date_parseable,season_end_date must be a valid date when present.,2,0,2,1.0,green
season,Validity,number_of_events_positive,number_of_events must be greater than zero when present.,2,0,2,1.0,green
season,Consistency,season_dates_order,season_start_date must be before season_end_date when both are present.,2,0,2,1.0,green
season,Consistency,season_dates_match_year,The year component of season dates must be coherent with season_year.,2,0,2,1.0,green
circuit,Completeness,circuit_required_analytical_columns,Circuit identifier and analytical classification columns must be present.,130,0,130,1.0,green
circuit,Uniqueness,primary_key_unique,Primary key ['circuit_id'] must be unique and non-null.,26,0,26,1.0,green
circuit,Validity,global_circuit_category_domain,global_circuit_category must belong to the allowed domain.,26,0,26,1.0,green
circuit,Validity,sector1_category_domain,sector1_category must belong to the allowed domain.,26,0,26,1.0,green
circuit,Validity,sector2_category_domain,sector2_category must belong to the allowed domain.,26,0,26,1.0,green
circuit,Validity,sector3_category_domain,sector3_category must belong to the allowed domain.,26,0,26,1.0,green
circuit,Validity,circuit_text_not_empty,Circuit textual attributes must not be empty strings when present.,26,0,26,1.0,green
driver,Completeness,driver_required_identification_columns,"driver_id, abbreviation, and last_name must be present.",78,0,78,1.0,green
driver,Uniqueness,primary_key_unique,Primary key ['driver_id'] must be unique and non-null.,26,0,26,1.0,green
driver,Validity,driver_abbreviation_format,abbreviation must be a short uppercase alphabetic driver code.,26,0,26,1.0,green
driver,Validity,driver_date_of_birth_parseable,date_of_birth must be a valid date when present.,26,0,26,1.0,green
driver,Validity,driver_url_format,driver_url must have a valid URL format when present.,26,0,26,1.0,green
driver,Validity,permanent_number_positive,permanent_number must be positive when present.,26,0,26,1.0,green
driver,Validity,driver_text_not_empty,Driver textual attributes must not be empty strings when present.,26,0,26,1.0,green
driver,Accuracy/Plausibility,driver_age_plausible_2021_2022,Driver age during 2021--2022 should be within a broad plausible range.,26,0,26,1.0,green
team,Completeness,team_required_identification_columns,team_id and team_name must be present.,20,0,20,1.0,green
team,Uniqueness,primary_key_unique,Primary key ['team_id'] must be unique and non-null.,10,0,10,1.0,green
team,Validity,team_id_format,team_id must be a non-empty lowercase textual identifier.,10,0,10,1.0,green
team,Validity,team_url_format,team_url must have a valid URL format when present.,10,0,10,1.0,green
team,Validity,team_text_not_empty,team_name and nationality must not be empty strings when present.,10,0,10,1.0,green
grand_prix,Completeness,grand_prix_required_structural_columns,"grand_prix_id, season_year, round_number, and circuit_id must be present.",176,0,176,1.0,green
grand_prix,Uniqueness,primary_key_unique,Primary key ['grand_prix_id'] must be unique and non-null.,44,0,44,1.0,green
grand_prix,Uniqueness,natural_key_1_unique,"Natural key ['season_year', 'round_number'] should be unique.",44,0,44,1.0,green
grand_prix,Validity,round_number_positive,round_number must be greater than zero.,44,0,44,1.0,green
grand_prix,Validity,event_date_parseable,event_date must be a valid date when present.,44,0,44,1.0,green
grand_prix,Validity,event_format_domain,event_format must belong to the allowed event format domain when present.,44,0,44,1.0,green
grand_prix,Validity,testing_events_excluded,Testing events must not be included.,44,0,44,1.0,green
grand_prix,Validity,f1_api_support_boolean,f1_api_support must be boolean when present.,44,0,44,1.0,green
grand_prix,Validity,grand_prix_text_not_empty,Grand Prix textual attributes must not be empty strings when present.,44,0,44,1.0,green
grand_prix,Consistency,grand_prix_event_date_matches_season_year,event_date must be coherent with season_year when present.,44,0,44,1.0,green
grand_prix,Accuracy/Plausibility,grand_prix_circuit_match_present,The event-to-circuit matching result must be present and referentially valid.,44,0,44,1.0,green
