table_name,column_name,total_rows,missing_count,missing_percentage,explained_null_count,suspicious_null_count,main_missing_class,main_missing_information_area,classification_information_count,lap_time_information_count,none_count,pit_information_count,qualifying_information_count,race_context_information_count,sector_information_count,speed_information_count,track_status_information_count,tyre_information_count,weather_information_count
lap,compound,61205,334,0.005457,0,334,SUSPICIOUS_NULL,TYRE_INFORMATION,0,0,0,0,0,0,0,0,0,334,0
lap,lap_time_ms,61205,5368,0.087705,0,5368,SUSPICIOUS_NULL,LAP_TIME_INFORMATION,0,5368,0,0,0,0,0,0,0,0,0
lap,sector1_time_ms,61205,4253,0.069488,0,4253,SUSPICIOUS_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,4253,0,0,0,0
lap,sector2_time_ms,61205,335,0.005473,0,335,SUSPICIOUS_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,335,0,0,0,0
lap,sector3_time_ms,61205,1140,0.018626,1046,94,EXPLAINED_NULL,SECTOR_INFORMATION,0,0,0,0,0,0,1140,0,0,0,0
lap,speed_fl,61205,5534,0.090417,5467,67,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,5534,0,0,0
lap,speed_i1,61205,165,0.002696,98,67,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,165,0,0,0
lap,speed_i2,61205,299,0.004885,0,299,SUSPICIOUS_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,299,0,0,0
lap,speed_st,61205,408,0.006666,341,67,EXPLAINED_NULL,SPEED_INFORMATION,0,0,0,0,0,0,0,408,0,0,0
lap,tyre_life,61205,520,0.008496,0,520,SUSPICIOUS_NULL,TYRE_INFORMATION,0,0,0,0,0,0,0,0,0,520,0
result,grid_position,1760,2,0.001136,0,2,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,0,0,0,0,0,2,0,0,0,0,0
result,position,1760,3,0.001705,0,3,SUSPICIOUS_NULL,CLASSIFICATION_INFORMATION,3,0,0,0,0,0,0,0,0,0,0
result,q1_ms,1760,12,0.006818,0,12,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,12,0,0,0,0,0,0
result,q2_ms,1760,10,0.005682,0,10,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,10,0,0,0,0,0,0
result,q3_ms,1760,11,0.00625,0,11,SUSPICIOUS_NULL,QUALIFYING_INFORMATION,0,0,0,0,11,0,0,0,0,0,0
result,time_ms,1760,384,0.218182,0,384,SUSPICIOUS_NULL,RACE_CONTEXT_INFORMATION,0,0,0,0,0,384,0,0,0,0,0
