table_name,session_id,metric,tested_values,iqr_outliers,modified_z_outliers,consensus_outliers,status
lap,2,lap_time_ms,832,3,1,1,completed
lap,2,sector1_time_ms,832,31,14,14,completed
lap,2,sector2_time_ms,832,3,0,0,completed
lap,2,sector3_time_ms,832,8,6,6,completed
lap,2,speed_i1,832,17,17,17,completed
lap,2,speed_i2,832,2,0,0,completed
lap,2,speed_fl,832,78,56,56,completed
lap,2,speed_st,832,103,95,95,completed
lap,6,lap_time_ms,1105,56,41,41,completed
lap,6,sector1_time_ms,1085,60,43,43,completed
lap,6,sector2_time_ms,1105,70,47,47,completed
lap,6,sector3_time_ms,1105,47,33,33,completed
lap,6,speed_i1,1105,20,11,11,completed
lap,6,speed_i2,1105,45,25,25,completed
lap,6,speed_fl,1105,25,3,3,completed
lap,6,speed_st,1105,180,82,82,completed
lap,8,lap_time_ms,1110,27,19,19,completed
lap,8,sector1_time_ms,1090,51,15,15,completed
lap,8,sector2_time_ms,1110,36,17,17,completed
lap,8,sector3_time_ms,1110,18,8,8,completed
lap,8,speed_i1,1110,42,27,27,completed
lap,8,speed_i2,1110,44,27,27,completed
lap,8,speed_fl,1110,95,49,49,completed
lap,8,speed_st,1110,193,174,174,completed
lap,10,lap_time_ms,1380,60,50,50,completed
lap,10,sector1_time_ms,1361,59,36,36,completed
lap,10,sector2_time_ms,1380,62,55,55,completed
lap,10,sector3_time_ms,1380,35,28,28,completed
lap,10,speed_i1,1380,63,70,63,completed
lap,10,speed_i2,1380,48,22,22,completed
lap,10,speed_fl,1380,98,59,59,completed
lap,10,speed_st,1380,95,84,84,completed
lap,12,lap_time_ms,641,36,29,29,completed
lap,12,sector1_time_ms,622,26,18,18,completed
lap,12,sector2_time_ms,641,28,18,18,completed
lap,12,sector3_time_ms,641,2,1,1,completed
lap,12,speed_i1,641,20,7,7,completed
lap,12,speed_i2,641,19,8,8,completed
lap,12,speed_fl,641,31,14,14,completed
lap,12,speed_st,641,5,3,3,completed
lap,14,lap_time_ms,1006,25,20,20,completed
lap,14,sector1_time_ms,987,26,9,9,completed
