result_id,session_id,driver_id,team_id,position,classified_position,grid_position,q1_ms,q2_ms,q3_ms,time_ms,status,points,laps,has_qualifying_information_issue,has_race_context_information_issue
1,1,max_verstappen,red_bull,1.0,,,90499.0,90318.0,88997.0,,,,,False,False
2,1,hamilton,mercedes,2.0,,,90617.0,90085.0,89385.0,,,,,False,False
3,1,bottas,mercedes,3.0,,,91200.0,90186.0,89586.0,,,,,False,False
4,1,leclerc,ferrari,4.0,,,90691.0,90010.0,89678.0,,,,,False,False
5,1,gasly,alphatauri,5.0,,,90848.0,90513.0,89809.0,,,,,False,False
6,1,ricciardo,mclaren,6.0,,,90795.0,90222.0,89927.0,,,,,False,False
7,1,norris,mclaren,7.0,,,90902.0,90099.0,89974.0,,,,,False,False
8,1,sainz,ferrari,8.0,,,91653.0,90009.0,90215.0,,,,,False,False
9,1,alonso,alpine,9.0,,,90863.0,90595.0,90249.0,,,,,False,False
10,1,stroll,aston_martin,10.0,,,91261.0,90624.0,90601.0,,,,,False,False
11,1,perez,red_bull,11.0,,,91165.0,90659.0,,,,,,False,False
12,1,giovinazzi,alfa,12.0,,,90998.0,90708.0,,,,,,False,False
13,1,tsunoda,alphatauri,13.0,,,90607.0,91203.0,,,,,,False,False
14,1,raikkonen,alfa,14.0,,,91547.0,91238.0,,,,,,False,False
15,1,russell,williams,15.0,,,91316.0,93430.0,,,,,,False,False
16,1,ocon,alpine,16.0,,,91724.0,,,,,,,False,False
17,1,latifi,williams,17.0,,,91936.0,,,,,,,False,False
18,1,vettel,aston_martin,18.0,,,92056.0,,,,,,,False,False
19,1,mick_schumacher,haas,19.0,,,92449.0,,,,,,,False,False
20,1,mazepin,haas,20.0,,,93273.0,,,,,,,False,False
21,2,hamilton,mercedes,1.0,1,2.0,,,,5523897.0,Finished,25.0,56.0,False,False
22,2,max_verstappen,red_bull,2.0,2,1.0,,,,745.0,Finished,18.0,56.0,False,False
23,2,bottas,mercedes,3.0,3,3.0,,,,37383.0,Finished,16.0,56.0,False,False
24,2,norris,mclaren,4.0,4,7.0,,,,46466.0,Finished,12.0,56.0,False,False
25,2,perez,red_bull,5.0,5,0.0,,,,52047.0,Finished,10.0,56.0,False,False
26,2,leclerc,ferrari,6.0,6,4.0,,,,59090.0,Finished,8.0,56.0,False,False
27,2,ricciardo,mclaren,7.0,7,6.0,,,,66004.0,Finished,6.0,56.0,False,False
28,2,sainz,ferrari,8.0,8,8.0,,,,67100.0,Finished,4.0,56.0,False,False
29,2,tsunoda,alphatauri,9.0,9,13.0,,,,85692.0,Finished,2.0,56.0,False,False
30,2,stroll,aston_martin,10.0,10,10.0,,,,86713.0,Finished,1.0,56.0,False,False
31,2,raikkonen,alfa,11.0,11,14.0,,,,88864.0,Finished,0.0,56.0,False,False
32,2,giovinazzi,alfa,12.0,12,12.0,,,,,+1 Lap,0.0,55.0,False,True
33,2,ocon,alpine,13.0,13,16.0,,,,,+1 Lap,0.0,55.0,False,True
34,2,russell,williams,14.0,14,15.0,,,,,+1 Lap,0.0,55.0,False,True
35,2,vettel,aston_martin,15.0,15,20.0,,,,,+1 Lap,0.0,55.0,False,True
36,2,mick_schumacher,haas,16.0,16,18.0,,,,,+1 Lap,0.0,55.0,False,True
37,2,gasly,alphatauri,17.0,17,5.0,,,,,Retired,0.0,52.0,False,True
38,2,latifi,williams,18.0,18,17.0,,,,,Retired,0.0,51.0,False,True
39,2,alonso,alpine,19.0,R,9.0,,,,,Brakes,0.0,32.0,False,True
40,2,mazepin,haas,20.0,R,19.0,,,,,Accident,0.0,0.0,False,True
41,3,hamilton,mercedes,1.0,,,74823.0,74817.0,74411.0,,,,,False,False
42,3,perez,red_bull,2.0,,,75395.0,74716.0,74446.0,,,,,False,False
43,3,max_verstappen,red_bull,3.0,,,75109.0,74884.0,74498.0,,,,,False,False
44,3,leclerc,ferrari,4.0,,,75413.0,74808.0,74740.0,,,,,False,False
45,3,gasly,alphatauri,5.0,,,75548.0,74927.0,74790.0,,,,,False,False
46,3,ricciardo,mclaren,6.0,,,75669.0,75033.0,74826.0,,,,,False,False
47,3,norris,mclaren,7.0,,,75009.0,74718.0,74875.0,,,,,False,False
48,3,bottas,mercedes,8.0,,,74672.0,74905.0,74898.0,,,,,False,False
49,3,ocon,alpine,9.0,,,75385.0,75117.0,75210.0,,,,,False,False
50,3,stroll,aston_martin,10.0,,,75522.0,75138.0,,,,,,True,False
51,3,sainz,ferrari,11.0,,,75406.0,75199.0,,,,,,False,False
52,3,russell,williams,12.0,,,75826.0,75261.0,,,,,,False,False
53,3,vettel,aston_martin,13.0,,,75459.0,75394.0,,,,,,False,False
54,3,latifi,williams,14.0,,,75653.0,75593.0,,,,,,False,False
55,3,alonso,alpine,15.0,,,75832.0,75593.0,,,,,,False,False
56,3,raikkonen,alfa,16.0,,,75974.0,,,,,,,False,False
57,3,giovinazzi,alfa,17.0,,,76122.0,,,,,,,False,False
58,3,mick_schumacher,haas,18.0,,,76279.0,,,,,,,False,False
59,3,mazepin,haas,19.0,,,76797.0,,,,,,,False,False
60,3,tsunoda,alphatauri,20.0,,,,,,,,,,True,False
61,4,max_verstappen,red_bull,1.0,1,3.0,,,,7354598.0,Finished,25.0,63.0,False,False
62,4,hamilton,mercedes,2.0,2,1.0,,,,22000.0,Finished,19.0,63.0,False,False
63,4,norris,mclaren,3.0,3,7.0,,,,23702.0,Finished,15.0,63.0,False,False
64,4,leclerc,ferrari,4.0,4,4.0,,,,25579.0,Finished,12.0,63.0,False,False
65,4,sainz,ferrari,5.0,5,11.0,,,,27036.0,Finished,10.0,63.0,False,False
66,4,ricciardo,mclaren,6.0,6,6.0,,,,51220.0,Finished,8.0,63.0,False,False
67,4,gasly,alphatauri,7.0,7,5.0,,,,52818.0,Finished,6.0,63.0,False,False
68,4,stroll,aston_martin,8.0,8,10.0,,,,56909.0,Finished,4.0,63.0,False,False
69,4,ocon,alpine,9.0,9,9.0,,,,65704.0,Finished,2.0,63.0,False,False
