track_status_id,time_ms,status,message,session_id
1,0,1,AllClear,1
2,1137097,2,Yellow,1
3,1141420,1,AllClear,1
4,1987624,2,Yellow,1
5,2048126,1,AllClear,1
6,0,1,AllClear,2
7,1659918,2,Yellow,2
8,1661288,1,AllClear,2
9,2254997,2,Yellow,2
10,2292198,4,SCDeployed,2
11,2628936,1,AllClear,2
12,2687777,2,Yellow,2
13,2701019,1,AllClear,2
14,2733063,6,VSCDeployed,2
15,2776419,7,VSCEnding,2
16,2789986,1,AllClear,2
17,6613169,2,Yellow,2
18,6620738,1,AllClear,2
19,0,1,AllClear,3
20,1246651,2,Yellow,3
21,1259982,5,Red,3
22,1664629,1,AllClear,3
23,0,1,AllClear,4
24,213085,2,Yellow,4
25,576333,1,AllClear,4
26,2072243,2,Yellow,4
27,2076760,1,AllClear,4
28,2085778,2,Yellow,4
29,2095943,4,SCDeployed,4
30,2804410,1,AllClear,4
31,3156021,2,Yellow,4
32,3161451,1,AllClear,4
33,3436023,2,Yellow,4
34,3438095,1,AllClear,4
35,5010732,2,Yellow,4
36,5084242,4,SCDeployed,4
37,5260736,5,Red,4
38,6588562,1,AllClear,4
39,7089632,2,Yellow,4
40,7109648,1,AllClear,4
41,7344487,2,Yellow,4
42,7360089,1,AllClear,4
43,9204703,2,Yellow,4
44,9212700,1,AllClear,4
45,459367,1,AllClear,5
46,1491907,2,Yellow,5
47,1510447,1,AllClear,5
48,1608460,2,Yellow,5
49,1623965,1,AllClear,5
50,0,1,AllClear,6
51,2104391,4,SCDeployed,6
52,2693571,1,AllClear,6
53,682753,1,AllClear,7
54,818039,1,AllClear,8
55,2602754,2,Yellow,8
56,2662323,4,SCDeployed,8
57,2927890,1,AllClear,8
58,0,1,AllClear,9
59,2242087,2,Yellow,9
60,2307314,1,AllClear,9
61,3458188,2,Yellow,9
62,3463207,1,AllClear,9
63,4474326,2,Yellow,9
64,4482346,5,Red,9
65,0,1,AllClear,10
66,0,1,AllClear,11
67,1131464,2,Yellow,11
68,1139406,5,Red,11
69,1704272,1,AllClear,11
70,2068169,2,Yellow,11
71,2080170,5,Red,11
72,2535858,1,AllClear,11
73,3063087,2,Yellow,11
74,3095141,1,AllClear,11
75,3469061,2,Yellow,11
76,3507728,1,AllClear,11
77,4462783,2,Yellow,11
78,4471574,5,Red,11
79,4816014,1,AllClear,11
80,5754140,2,Yellow,11
81,5759688,5,Red,11
82,169680,1,AllClear,12
83,1659207,2,Yellow,12
84,1668096,1,AllClear,12
85,1706329,2,Yellow,12
86,1710945,1,AllClear,12
87,1937953,2,Yellow,12
88,1939329,1,AllClear,12
89,2007961,2,Yellow,12
90,2012467,1,AllClear,12
91,2464172,2,Yellow,12
92,2468798,1,AllClear,12
93,3207543,2,Yellow,12
94,3231158,1,AllClear,12
95,4529316,2,Yellow,12
96,4531501,1,AllClear,12
97,4644211,2,Yellow,12
98,4654620,1,AllClear,12
99,5277646,2,Yellow,12
100,5312488,4,SCDeployed,12
101,6102267,1,AllClear,12
102,7297754,2,Yellow,12
103,7366814,4,SCDeployed,12
104,7563265,5,Red,12
105,7716346,1,AllClear,12
106,7824360,2,Yellow,12
107,7837354,1,AllClear,12
108,9850459,2,Yellow,12
109,9856002,1,AllClear,12
110,10119043,2,Yellow,12
111,10242346,1,AllClear,12
112,512898,1,AllClear,13
113,1072232,2,Yellow,13
114,1094390,5,Red,13
115,1597952,1,AllClear,13
116,2477975,2,Yellow,13
117,2490178,5,Red,13
118,2718017,1,AllClear,13
119,82354,1,AllClear,14
120,68055,1,AllClear,15
121,0,1,AllClear,16
122,2014794,2,Yellow,16
123,2018604,1,AllClear,16
124,506870,1,AllClear,17
125,874915,1,AllClear,18
126,3774246,4,SCDeployed,18
127,4017843,1,AllClear,18
128,8740520,2,Yellow,18
129,8802654,1,AllClear,18
130,0,1,AllClear,19
133,447496,1,AllClear,20
134,1287130,2,Yellow,20
135,1293982,1,AllClear,20
136,3797629,2,Yellow,20
137,3811052,4,SCDeployed,20
138,3938849,5,Red,20
139,5442127,1,AllClear,20
140,6366806,2,Yellow,20
141,6375709,1,AllClear,20
142,10374926,2,Yellow,20
143,10384718,1,AllClear,20
146,2890956,2,Yellow,21
147,2898776,5,Red,21
148,3261189,1,AllClear,21
149,420122,1,AllClear,22
150,3749505,2,Yellow,22
151,3803239,4,SCDeployed,22
152,3975187,5,Red,22
153,4895973,1,AllClear,22
154,10637504,2,Yellow,22
155,10643516,1,AllClear,22
156,11311789,2,Yellow,22
157,0,1,AllClear,23
158,1848056,2,Yellow,23
159,1869113,1,AllClear,23
160,4672348,2,Yellow,23
161,4679786,5,Red,23
162,7061465,1,AllClear,23
163,0,1,AllClear,24
164,1525432,2,Yellow,24
165,1937778,1,AllClear,24
166,5380939,5,Red,24
167,15020221,1,AllClear,24
168,15875144,5,Red,24
169,0,1,AllClear,25
170,3061027,2,Yellow,25
