source,table_name,row_identifier,target_column,check_id,issue_code,missing_class,missing_information_area,outlier_metric,outlier_consensus_score,cleaning_action,old_value,new_value,reason
general_dqa,result,result_id=180,,result_required_structural_columns,MISSING_REQUIRED_VALUE,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,result,result_id=880,,result_required_structural_columns,MISSING_REQUIRED_VALUE,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,result,result_id=960,,result_required_structural_columns,MISSING_REQUIRED_VALUE,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,lap,lap_id=16331,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16331,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16332,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16332,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16333,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16333,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16334,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16334,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16335,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
