source,check_id,missing_information_area,outlier_metric,cleaning_action,action_count
general_dqa,compound_domain,TYRE_INFORMATION,,ADD_FLAG,60
general_dqa,compound_domain,,,SET_NULL,60
general_dqa,natural_key_1_unique,,,DROP_ROW,9
general_dqa,result_required_structural_columns,,,DROP_ROW,3
missing_values,,LAP_TIME_INFORMATION,,DROP_ROW,5370
missing_values,,QUALIFYING_INFORMATION,,ADD_FLAG,30
missing_values,,RACE_CONTEXT_INFORMATION,,ADD_FLAG,382
missing_values,,SECTOR_INFORMATION,,ADD_FLAG,811
missing_values,,SECTOR_INFORMATION|SPEED_INFORMATION,,ADD_FLAG,49
missing_values,,SECTOR_INFORMATION|TYRE_INFORMATION,,ADD_FLAG,20
missing_values,,SPEED_INFORMATION,,ADD_FLAG,4113
missing_values,,SPEED_INFORMATION|TYRE_INFORMATION,,ADD_FLAG,9
missing_values,,TYRE_INFORMATION,,ADD_FLAG,565
outlier_detection,,,lap_time_ms,DROP_ROW,488
outlier_detection,,,,ADD_FLAG,4799
