driver_id,abbreviation,first_name,last_name,nationality,driver_age_class
albon,ALB,Alexander,Albon,Thai,Intermediate
alonso,ALO,Fernando,Alonso,Spanish,Senior
bottas,BOT,Valtteri,Bottas,Finnish,Senior
de_vries,DEV,Nyck,de Vries,Dutch,Intermediate
gasly,GAS,Pierre,Gasly,French,Intermediate
giovinazzi,GIO,Antonio,Giovinazzi,Italian,Intermediate
hamilton,HAM,Lewis,Hamilton,British,Senior
hulkenberg,HUL,Nico,Hülkenberg,German,Senior
kevin_magnussen,MAG,Kevin,Magnussen,Danish,Intermediate
kubica,KUB,Robert,Kubica,Polish,Senior
latifi,LAT,Nicholas,Latifi,Canadian,Intermediate
leclerc,LEC,Charles,Leclerc,Monegasque,Young
max_verstappen,VER,Max,Verstappen,Dutch,Young
mazepin,MAZ,Nikita,Mazepin,Russian,Young
mick_schumacher,MSC,Mick,Schumacher,German,Young
norris,NOR,Lando,Norris,British,Young
ocon,OCO,Esteban,Ocon,French,Intermediate
perez,PER,Sergio,Pérez,Mexican,Senior
raikkonen,RAI,Kimi,Räikkönen,Finnish,Senior
ricciardo,RIC,Daniel,Ricciardo,Australian,Senior
russell,RUS,George,Russell,British,Young
sainz,SAI,Carlos,Sainz,Spanish,Intermediate
stroll,STR,Lance,Stroll,Canadian,Young
tsunoda,TSU,Yuki,Tsunoda,Japanese,Young
vettel,VET,Sebastian,Vettel,German,Senior
zhou,ZHO,Guanyu,Zhou,Chinese,Young
