result_weather_context_key,rain_flag,avg_air_temp_class,avg_track_temp_class,avg_wind_speed_class
1,False,High,High,Low
2,False,High,High,Medium
3,False,High,Medium,High
4,False,High,Medium,Low
5,False,High,Medium,Medium
6,False,Low,Low,Low
7,False,Low,Low,Medium
8,False,Low,Medium,Low
9,False,Medium,High,Low
10,False,Medium,Low,Low
11,False,Medium,Low,Medium
12,False,Medium,Medium,Low
13,False,Medium,Medium,Medium
14,True,High,High,Medium
15,True,High,Medium,Low
16,True,Low,Low,Low
17,True,Low,Low,Medium
18,True,Low,Medium,Low
19,True,Medium,Low,Low
20,True,Medium,Medium,Low
