tyre_context_key,compound,starting_tyre_set_status,tyre_life_class
1,HARD,NewSet,High
2,HARD,NewSet,Low
3,HARD,NewSet,Medium
4,HARD,NewSet,Unknown
5,HARD,UsedSet,High
6,HARD,UsedSet,Low
7,HARD,UsedSet,Medium
8,HARD,UsedSet,Unknown
9,INTERMEDIATE,NewSet,High
10,INTERMEDIATE,NewSet,Low
11,INTERMEDIATE,NewSet,Medium
12,INTERMEDIATE,NewSet,Unknown
13,INTERMEDIATE,UsedSet,High
14,INTERMEDIATE,UsedSet,Low
15,INTERMEDIATE,UsedSet,Medium
16,INTERMEDIATE,UsedSet,Unknown
17,MEDIUM,NewSet,High
18,MEDIUM,NewSet,Low
19,MEDIUM,NewSet,Medium
20,MEDIUM,NewSet,Unknown
21,MEDIUM,UsedSet,High
22,MEDIUM,UsedSet,Low
23,MEDIUM,UsedSet,Medium
24,MEDIUM,UsedSet,Unknown
25,SOFT,NewSet,High
26,SOFT,NewSet,Low
27,SOFT,NewSet,Medium
28,SOFT,UsedSet,High
29,SOFT,UsedSet,Low
30,SOFT,UsedSet,Medium
31,Unknown,UsedSet,High
32,Unknown,UsedSet,Low
33,Unknown,UsedSet,Medium
34,Unknown,UsedSet,Unknown
35,WET,NewSet,High
36,WET,NewSet,Low
37,WET,NewSet,Medium
38,WET,UsedSet,High
39,WET,UsedSet,Low
40,WET,UsedSet,Medium
