weather_context_key,rain_flag,air_temp_class,track_temp_class,wind_speed_class
1,False,High,High,High
2,False,High,High,Low
3,False,High,High,Medium
4,False,High,Medium,High
5,False,High,Medium,Low
6,False,High,Medium,Medium
7,False,Low,Low,High
8,False,Low,Low,Low
9,False,Low,Low,Medium
10,False,Low,Medium,Low
11,False,Low,Medium,Medium
12,False,Medium,High,High
13,False,Medium,High,Low
14,False,Medium,High,Medium
15,False,Medium,Low,Low
16,False,Medium,Low,Medium
17,False,Medium,Medium,High
18,False,Medium,Medium,Low
19,False,Medium,Medium,Medium
20,True,Low,Low,High
21,True,Low,Low,Low
22,True,Low,Low,Medium
23,True,Medium,Low,Low
24,True,Medium,Medium,Low
