session_result_key,driver_id,team_id,grand_prix_id,result_outcome_key,result_weather_context_key,result_data_quality_key,session_type,position,grid_position,q1_ms,q2_ms,q3_ms,gap_to_leader_ms,points,laps
1,max_verstappen,red_bull,1,11,4,1,Q,1,,90499,90318,88997,,,
2,hamilton,mercedes,1,11,4,1,Q,2,,90617,90085,89385,,,
3,bottas,mercedes,1,11,4,1,Q,3,,91200,90186,89586,,,
4,leclerc,ferrari,1,11,4,1,Q,4,,90691,90010,89678,,,
5,gasly,alphatauri,1,11,4,1,Q,5,,90848,90513,89809,,,
6,ricciardo,mclaren,1,11,4,1,Q,6,,90795,90222,89927,,,
7,norris,mclaren,1,11,4,1,Q,7,,90902,90099,89974,,,
8,sainz,ferrari,1,11,4,1,Q,8,,91653,90009,90215,,,
9,alonso,alpine,1,11,4,1,Q,9,,90863,90595,90249,,,
10,stroll,aston_martin,1,11,4,1,Q,10,,91261,90624,90601,,,
11,perez,red_bull,1,11,4,1,Q,11,,91165,90659,,,,
12,giovinazzi,alfa,1,11,4,1,Q,12,,90998,90708,,,,
13,tsunoda,alphatauri,1,11,4,1,Q,13,,90607,91203,,,,
14,raikkonen,alfa,1,11,4,1,Q,14,,91547,91238,,,,
15,russell,williams,1,11,4,1,Q,15,,91316,93430,,,,
16,ocon,alpine,1,11,4,1,Q,16,,91724,,,,,
17,latifi,williams,1,11,4,1,Q,17,,91936,,,,,
18,vettel,aston_martin,1,11,4,1,Q,18,,92056,,,,,
19,mick_schumacher,haas,1,11,4,1,Q,19,,92449,,,,,
20,mazepin,haas,1,11,4,1,Q,20,,93273,,,,,
21,hamilton,mercedes,1,6,10,1,R,1,2,,,,0,25.0,56
22,max_verstappen,red_bull,1,6,10,1,R,2,1,,,,745,18.0,56
23,bottas,mercedes,1,6,10,1,R,3,3,,,,37383,16.0,56
24,norris,mclaren,1,6,10,1,R,4,7,,,,46466,12.0,56
25,perez,red_bull,1,6,10,1,R,5,0,,,,52047,10.0,56
26,leclerc,ferrari,1,6,10,1,R,6,4,,,,59090,8.0,56
27,ricciardo,mclaren,1,6,10,1,R,7,6,,,,66004,6.0,56
28,sainz,ferrari,1,6,10,1,R,8,8,,,,67100,4.0,56
29,tsunoda,alphatauri,1,6,10,1,R,9,13,,,,85692,2.0,56
30,stroll,aston_martin,1,6,10,1,R,10,10,,,,86713,1.0,56
31,raikkonen,alfa,1,6,10,1,R,11,14,,,,88864,0.0,56
32,giovinazzi,alfa,1,7,10,2,R,12,12,,,,,0.0,55
33,ocon,alpine,1,7,10,2,R,13,16,,,,,0.0,55
34,russell,williams,1,7,10,2,R,14,15,,,,,0.0,55
35,vettel,aston_martin,1,7,10,2,R,15,20,,,,,0.0,55
36,mick_schumacher,haas,1,7,10,2,R,16,18,,,,,0.0,55
37,gasly,alphatauri,1,17,10,2,R,17,5,,,,,0.0,52
38,latifi,williams,1,17,10,2,R,18,17,,,,,0.0,51
39,alonso,alpine,1,9,10,2,R,19,9,,,,,0.0,32
40,mazepin,haas,1,2,10,2,R,20,19,,,,,0.0,0
41,hamilton,mercedes,2,11,6,1,Q,1,,74823,74817,74411,,,
42,perez,red_bull,2,11,6,1,Q,2,,75395,74716,74446,,,
43,max_verstappen,red_bull,2,11,6,1,Q,3,,75109,74884,74498,,,
44,leclerc,ferrari,2,11,6,1,Q,4,,75413,74808,74740,,,
