CircuitId,CircuitName,Country,Location,SeasonsPresent,GlobalCircuitCategory,Sector1Category,Sector2Category,Sector3Category
bahrain,Bahrain International Circuit,Bahrain,Sakhir,2021|2022,PowerSensitive,Power,Technical,Power
imola,Autodromo Enzo e Dino Ferrari,Italy,Imola,2021|2022,AeroSensitive,Power,FastCorners,Technical
portimao,Autódromo Internacional do Algarve,Portugal,Portimão,2021,Mixed,Power,FastCorners,Technical
barcelona,Circuit de Barcelona-Catalunya,Spain,Montmeló,2021|2022,AeroSensitive,Power,Technical,SlowCorners
monaco,Circuit de Monaco,Monaco,Monte Carlo,2021|2022,Street,FastCorners,SlowCorners,Technical
baku,Baku City Circuit,Azerbaijan,Baku,2021|2022,Street,SlowCorners,Technical,Power
paul_ricard,Circuit Paul Ricard,France,Le Castellet,2021|2022,Mixed,FastCorners,Power,Technical
red_bull_ring,Red Bull Ring,Austria,Spielberg,2021|2022,PowerSensitive,Power,Power,FastCorners
silverstone,Silverstone Circuit,United Kingdom,Silverstone,2021|2022,AeroSensitive,Technical,FastCorners,FastCorner
hungaroring,Hungaroring,Hungary,Mogyoród,2021|2022,Mixed,Power,Technical,SlowCorners
spa,Circuit de Spa-Francorchamps,Belgium,Stavelot,2021|2022,Mixed,Power,FastCorners,Power
zandvoort,Circuit Zandvoort,Netherlands,Zandvoort,2021|2022,AeroSensitive,FastCorners,FastCorners,FastCorners
monza,Autodromo Nazionale Monza,Italy,Monza,2021|2022,PowerSensitive,Power,FastCorners,Power
sochi,Sochi Autodrom,Russia,Sochi,2021,AeroSensitive,Power,Technical,SlowCorners
istanbul,Istanbul Park,Türkiye,Istanbul,2021,AeroSensitive,Technical,FastCorners,SlowCorners
cota,Circuit of The Americas,United States,Austin,2021|2022,Mixed,FastCorners,Power,Technical
mexico_city,Autódromo Hermanos Rodríguez,Mexico,Mexico City,2021|2022,PowerSensitive,Power,Technical,SlowCorners
interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2021|2022,Mixed,FastCorners,Technical,Power
losail,Losail International Circuit,Qatar,Lusail,2021,AeroSensitive,FastCorners,FastCorners,FastCorners
jeddah,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,2021|2022,Street,FastCorners,FastCorners,Power
yas_marina,Yas Marina Circuit,United Arab Emirates,Abu Dhabi,2021|2022,Mixed,Technical,Power,SlowCorners
albert_park,Albert Park Circuit,Australia,Melbourne,2022,PowerSensitive,Power,FastCorners,Technical
miami,Miami International Autodrome,United States,Miami,2022,Mixed,FastCorners,Technical,Power
gilles_villeneuve,Circuit Gilles-Villeneuve,Canada,Montreal,2022,PowerSensitive,SlowCorners,FastCorners,Power
marina_bay,Marina Bay Street Circuit,Singapore,Singapore,2022,Street,Power,SlowCorners,Technical
suzuka,Suzuka Circuit,Japan,Suzuka,2022,AeroSensitive,FastCorners,Technical,Power
